host_as_client_flow_count,client_dst_ip_diversity,client_dst_port_diversity,host_as_server_flow_count,host_pair_flow_count,src_ip,dst_ip,src_out_degree,src_in_degree,src_total_degree,dst_out_degree,dst_in_degree,dst_total_degree,edge_weight,src_clustering_coefficient,dst_clustering_coefficient,other_hosts_to_dst_count,src_to_other_hosts_count,possible_p2p_client,synchronized_flows_count
30233,1,169,8968.0,343,10.28.8.78,192.168.107.151,1,1,2,56,53,109,170,0.0,0.008771929824561403,199,0,0,
380,1,3,8968.0,6,104.18.19.125,192.168.107.151,1,1,2,56,53,109,3,0.0,0.008771929824561403,366,0,0,121.0
30233,1,169,8968.0,343,10.28.8.78,192.168.107.151,1,1,2,56,53,109,170,0.0,0.008771929824561403,199,0,0,
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
207,1,42,8968.0,61,3.232.80.56,192.168.107.151,1,1,2,56,53,109,42,0.0,0.008771929824561403,327,0,0,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
8968,56,17,649.0,68,192.168.107.151,52.45.88.155,56,53,109,1,1,2,34,0.008771929824561403,0.0,0,299,1,121.0
